epoch,train_loss,train_acc,val_loss,val_acc,precision,recall,tp,fp,fn,tn
1,0.3366,0.8597,0.1466,0.9541,0.6538,0.9444,34,18,2,382
2,0.1946,0.9164,0.1097,0.9541,0.6481,0.9722,35,19,1,381
3,0.1449,0.941,0.0483,0.9862,0.875,0.9722,35,5,1,395
4,0.1428,0.9399,0.0761,0.9748,0.7778,0.9722,35,10,1,390
5,0.1228,0.9536,0.0384,0.9862,0.875,0.9722,35,5,1,395
6,0.1018,0.9628,0.0383,0.9908,0.9211,0.9722,35,3,1,397
7,0.0822,0.9645,0.0445,0.9771,0.7955,0.9722,35,9,1,391
8,0.0897,0.9691,0.0322,0.9885,0.8974,0.9722,35,4,1,396
9,0.0787,0.9737,0.0285,0.9862,0.875,0.9722,35,5,1,395
10,0.0817,0.9656,0.0486,0.9794,0.8,1.0,36,9,0,391
11,0.0592,0.9788,0.0196,0.9908,0.9211,0.9722,35,3,1,397
12,0.054,0.9805,0.0406,0.9862,0.875,0.9722,35,5,1,395
13,0.0564,0.9777,0.0252,0.9885,0.8974,0.9722,35,4,1,396
14,0.0648,0.9777,0.0324,0.9931,0.9231,1.0,36,3,0,397
15,0.0665,0.9771,0.0207,0.9908,0.9211,0.9722,35,3,1,397
16,0.0538,0.9817,0.0249,0.9908,0.9211,0.9722,35,3,1,397
17,0.0513,0.98,0.0169,0.9954,0.9722,0.9722,35,1,1,399
18,0.0631,0.9765,0.0336,0.9885,0.8974,0.9722,35,4,1,396
19,0.0433,0.9845,0.0154,0.9954,0.9722,0.9722,35,1,1,399
20,0.042,0.984,0.0296,0.9862,0.8571,1.0,36,6,0,394
21,0.0291,0.9908,0.0152,0.9931,0.9459,0.9722,35,2,1,398
22,0.0279,0.9903,0.0163,0.9908,0.9211,0.9722,35,3,1,397
23,0.0403,0.9834,0.0255,0.9908,0.9,1.0,36,4,0,396
24,0.0504,0.9834,0.0334,0.9862,0.8571,1.0,36,6,0,394
